Name,Longitude,Latitude,AddressRegion,AddressLocality,AddressCountry,Tags
Dwyer McAllister Cottage,-6.5648108,52.9619269,Wicklow,Donard,Ireland,"Historic Houses and Castle,Museums and Attraction"
Valentia Island - Kerry,-10.36247874,51.90577066,Kerry,,Republic of Ireland,"Restaurant,Craft,Shopping,Bird Watching,Nature and Wildlife,Climbing,Activity Operator,Cruising,Cycling,Fishing,Angling,Gardening,Horse Riding,Equestrian,Kayaking,Kitesurfing,Windsurfing,Photography,Learning,Sailing,Swimming,Swimming Pools and Water Park,Venue,Walking,Historic Houses and Castle,Island,Offshore Island,Natural Landscape,Cafe,Food and Drink,Local Produce,Pubs and Bar,Seafood"
The Wicklow Way,-6.2683925,53.2773496,Dublin,Rathfarnham,Ireland,"Cycling,Walking,Natural Landscape"
The Táin Way,-6.39708,54.004607,Louth,Carlingford,Republic of Ireland,"Walking,Natural Landscape"
"Walking - The Western Way, Galway",-9.048728,53.276473,Galway,Galway City,Republic of Ireland,"Walking,Natural Landscape"
The Barrow Way,-6.996183221,53.22193552,Kildare,,Republic of Ireland,"Walking,Natural Landscape"
Dun na Rí Forest Park,-6.7926615,53.9189778,Cavan,Kingscourt,Ireland,"Walking,Forest Park,Park and Forest Walk,National Park,National and Forest Park,Public Park,Nature and Wildlife"
Tipperary Heritage Way,-7.885829829,52.51641129,Tipperary,Tipperary Town,Republic of Ireland,"Walking,Natural Landscape"
The Blackwater Way - Duhallow,-8.596740023,51.94432138,Cork,,Republic of Ireland,"Walking,Natural Landscape"
The Mid Clare Way,-8.8990055,52.7606678,Clare,Newmarket,Ireland,"Walking,Natural Landscape"
The North Kerry Way,-9.706157,52.26677,Kerry,Tralee,Republic of Ireland,"Walking,Natural Landscape"
Bray to Greystones Walk,-6.043428,52.98086,Wicklow,Wicklow Town,Republic of Ireland,"Walking,Natural Landscape"
The South Leinster Way,-6.928809904,52.60207927,Carlow,Borris,Republic of Ireland,"Walking,Natural Landscape"
